model,domain,mean,min,max,std
roct_GLM130B_random_forest,MAGE_HDSR_train_roct,0.49965,0.4875,0.51,0.003693086634360047
roct_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_roct,0.511925,0.4975,0.53,0.006852108353557244
roct_gpt_j_random,MAGE_HDSR_train_roct,0.496675,0.48,0.5025,0.0038771377290079566
roct_gpt_neox_random,MAGE_HDSR_train_roct,0.49815,0.4875,0.51,0.003617089069035116
roct_opt_1.3b_random,MAGE_HDSR_train_roct,0.4982,0.485,0.505,0.004005677788521504
roct_opt_125m_random,MAGE_HDSR_train_roct,0.499025,0.4925,0.5075,0.003387719205326993
roct_opt_13b_random,MAGE_HDSR_train_roct,0.500825,0.485,0.52,0.005806812004582685
roct_opt_2.7b_random,MAGE_HDSR_train_roct,0.4989,0.4925,0.5075,0.0030218062696528167
roct_opt_30b_random,MAGE_HDSR_train_roct,0.498925,0.4875,0.515,0.004193173263794613
roct_opt_350m_random,MAGE_HDSR_train_roct,0.50445,0.49,0.5175,0.004586156155521556
roct_opt_6.7b_random,MAGE_HDSR_train_roct,0.497725,0.4875,0.505,0.0033727779815948874
roct_opt_iml_30b,MAGE_HDSR_train_roct,0.49795,0.4875,0.505,0.003125732237444852
roct_opt_iml_max,MAGE_HDSR_train_roct,0.497725,0.4875,0.505,0.0035903736335209996
roct_t0_11b_random,MAGE_HDSR_train_roct,0.50425,0.485,0.5225,0.005324092372973966
roct_t0_3b_random,MAGE_HDSR_train_roct,0.503325,0.4875,0.515,0.005470940217977789
roct_text-davinci-002_random_forest,MAGE_HDSR_train_roct,0.50305,0.4925,0.515,0.004586156155521557
roct_text-davinci-003_random_forest,MAGE_HDSR_train_roct,0.502925,0.4875,0.5225,0.005607703485727317
sci_gen_13B_random,MAGE_HDSR_train_sci,0.495425,0.43,0.5625,0.026671531279776207
sci_gen_30B_random,MAGE_HDSR_train_sci,0.4941,0.4425,0.555,0.02471688172938169
sci_gen_65B_random,MAGE_HDSR_train_sci,0.483575,0.43,0.5675,0.02620879401724512
sci_gen_7B_random,MAGE_HDSR_train_sci,0.484225,0.42,0.55,0.03065920322552826
sci_gen_bloom_7b,MAGE_HDSR_train_sci,0.39425,0.305,0.5125,0.044203815137692275
sci_gen_flan_t5,MAGE_HDSR_train_sci,0.494425,0.4025,0.5775,0.031188282489525845
sci_gen_flan_t5,MAGE_HDSR_train_sci,0.482475,0.405,0.555,0.030101878779581284
sci_gen_flan_t5,MAGE_HDSR_train_sci,0.50785,0.4375,0.5975,0.02834897072936056
sci_gen_flan_t5,MAGE_HDSR_train_sci,0.483,0.4125,0.5325,0.027198763340871342
sci_gen_flan_t5,MAGE_HDSR_train_sci,0.4805,0.4075,0.5625,0.031168327617385028
sci_gen_GLM130B_random,MAGE_HDSR_train_sci,0.475525,0.405,0.5375,0.025771663927968664
sci_gen_gpt-3.5-turbo_random,MAGE_HDSR_train_sci,0.44115,0.37,0.4975,0.0248541706355251
sci_gen_gpt_j,MAGE_HDSR_train_sci,0.40595,0.3425,0.53,0.03285601431652471
sci_gen_gpt_neox,MAGE_HDSR_train_sci,0.37115,0.3,0.4875,0.030474819875835963
sci_gen_opt_1.3b,MAGE_HDSR_train_sci,0.46525,0.3875,0.5425,0.02801852742004616
sci_gen_opt_125m,MAGE_HDSR_train_sci,0.44935,0.3725,0.5,0.026298644202100742
sci_gen_opt_13b,MAGE_HDSR_train_sci,0.3937,0.2925,0.4975,0.04553758576353952
sci_gen_opt_2.7b,MAGE_HDSR_train_sci,0.43325,0.3475,0.5075,0.028323304820581863
sci_gen_opt_30b,MAGE_HDSR_train_sci,0.40035,0.305,0.5075,0.04172271987221535
