,Key,Count,Mean Score
0,TTR,100,0.07265696639215992
1,we,100,0.047119611779475365
3,on,99,0.04555050550687121
2,this,97,0.04451061429597092
4,PRP$,97,0.0438550931886412
6,and,94,0.03886428857055676
5,RB,88,0.0385298684809336
10,our,88,0.038393081831191056
8,PRP,68,0.0357398040373836
12,that,55,0.033299734230821096
7,to,49,0.0333394050490562
9,with,47,0.034299898996686944
11,VB,16,0.030617006721039376
13,for,2,0.031103696187413647
