model,domain,mean,min,max,std
13B,MAGE_cmv,0.91349359,0.881410256,0.939102564,0.014221081
30B,MAGE_cmv,0.891672026,0.848874598,0.919614148,0.016533174
65B,MAGE_cmv,0.897767296,0.839622642,0.943396226,0.018480095
7B,MAGE_cmv,0.934647436,0.903846154,0.971153846,0.012964542
bloom,MAGE_cmv,0.973938356,0.952054795,0.989726027,0.008471506
flan,MAGE_cmv,0.947056962,0.917721519,0.96835443,0.011125885
flan,MAGE_cmv,0.922724359,0.891025641,0.951923077,0.013839454
flan,MAGE_cmv,0.966437908,0.941176471,0.993464052,0.010621029
flan,MAGE_cmv,0.946286645,0.915309446,0.977198697,0.013196822
flan,MAGE_cmv,0.948888889,0.91503268,0.973856209,0.01231134
GLM130B,MAGE_cmv,0.929050633,0.89556962,0.955696203,0.014993483
gpt-3.5-turbo,MAGE_cmv,0.9454375,0.9225,0.96625,0.008769594
gpt,MAGE_cmv,0.971803922,0.937254902,0.992156863,0.010467835
gpt,MAGE_cmv,0.98044898,0.951020408,1,0.009502494
opt,MAGE_cmv,0.945774194,0.916129032,0.970967742,0.012908886
opt,MAGE_cmv,0.913181818,0.863636364,0.944805195,0.014340022
opt,MAGE_cmv,0.977034483,0.95862069,0.993103448,0.007768309
opt,MAGE_cmv,0.961442308,0.923076923,0.983974359,0.012985015
opt,MAGE_cmv,0.967915309,0.944625407,0.993485342,0.010041096
opt,MAGE_cmv,0.941451613,0.896774194,0.970967742,0.012930689
opt,MAGE_cmv,0.936809211,0.904605263,0.967105263,0.013753268
opt,MAGE_cmv,0.946644951,0.915309446,0.977198697,0.01213299
opt,MAGE_cmv,0.921333333,0.866666667,0.952380952,0.016446773
t0,MAGE_cmv,0.953917197,0.929936306,0.974522293,0.010523193
t0,MAGE_cmv,0.930828025,0.894904459,0.968152866,0.014293308
text-davinci-002,MAGE_cmv,0.86085,0.8175,0.885,0.012484688
text-davinci-003,MAGE_cmv,0.91635,0.895,0.93875,0.009499269
13B,MAGE_eli5,0.874213198,0.824873096,0.918781726,0.017507581
30B,MAGE_eli5,0.84564557,0.810126582,0.888607595,0.016452076
65B,MAGE_eli5,0.845398458,0.791773779,0.88688946,0.016692105
7B,MAGE_eli5,0.887989691,0.845360825,0.917525773,0.016095022
bloom,MAGE_eli5,0.955828877,0.92513369,0.978609626,0.010799203
flan,MAGE_eli5,0.878897243,0.839598997,0.922305764,0.017046329
flan,MAGE_eli5,0.87498708,0.829457364,0.917312661,0.017131442
flan,MAGE_eli5,0.899717949,0.864102564,0.933333333,0.01493736
flan,MAGE_eli5,0.868184143,0.823529412,0.907928389,0.016103365
flan,MAGE_eli5,0.880951157,0.825192802,0.920308483,0.01579913
GLM130B,MAGE_eli5,0.877397959,0.841836735,0.920918367,0.016392027
gpt-3.5-turbo,MAGE_eli5,0.8691875,0.84625,0.9025,0.011192156
