,Key,Count,Mean Score
0,PRP,100,0.0753370449698773
1,of,100,0.06759384977396504
2,sentiment,100,0.06015152563351807
3,NN,100,0.05355160094187965
4,VB,100,0.05183894840407153
7,IN,98,0.03950819920751866
8,DT,94,0.03815361471227844
6,have,59,0.035120951315245265
10,to,56,0.037378852323604904
12,NNS,42,0.033469539110091796
13,mean_sen_len,38,0.03308593909512486
9,RB,35,0.03304321794186149
11,the,30,0.03260044090184031
5,i,26,0.031826637320871695
14,which,22,0.03304648608951898
