model,domain,mean,min,max,std
13B_random_forest,MAGE_cmv,0.9125106837606838,0.8685897435897436,0.9455128205128204,0.015346196843466888
30B_random_forest,MAGE_cmv,0.8906323687031082,0.8456591639871383,0.9292604501607716,0.017075284258017607
65B_random_forest,MAGE_cmv,0.899664570230608,0.839622641509434,0.9433962264150944,0.0162369414189076
7B_random_forest,MAGE_cmv,0.9347863247863248,0.8942307692307693,0.971153846153846,0.013288902595417987
bloom_7b_random,MAGE_cmv,0.9747146118721461,0.9486301369863014,1.0,0.009138204766027402
flan_t5_base,MAGE_cmv,0.9465189873417721,0.9145569620253164,0.9746835443037974,0.011853409979284385
flan_t5_large,MAGE_cmv,0.9213247863247863,0.8846153846153846,0.9551282051282052,0.014278949849419034
flan_t5_small,MAGE_cmv,0.9654575163398693,0.9411764705882352,0.9934640522875816,0.010723565713997036
flan_t5_xl,MAGE_cmv,0.9461563517915309,0.9120521172638436,0.977198697068404,0.013238344312383736
flan_t5_xxl,MAGE_cmv,0.949161220043573,0.9117647058823528,0.9738562091503268,0.012739837629722292
GLM130B_random_forest,MAGE_cmv,0.9296518987341772,0.8924050632911392,0.9683544303797468,0.01432770858420753
gpt-3.5-turbo_random_forest,MAGE_cmv,0.9417458333333333,0.905,0.9725,0.010946958205458823
gpt_j_random,MAGE_cmv,0.9702352941176471,0.9215686274509804,0.992156862745098,0.011462599782126099
gpt_neox_random,MAGE_cmv,0.9803945578231293,0.9510204081632652,1.0,0.009085189766013057
opt_1.3b_random,MAGE_cmv,0.9452258064516129,0.9096774193548388,0.9774193548387096,0.012734739880523567
opt_125m_random,MAGE_cmv,0.9116450216450217,0.8636363636363636,0.9512987012987012,0.01488719417003901
opt_13b_random,MAGE_cmv,0.9762528735632184,0.9482758620689656,0.996551724137931,0.008366442616887694
opt_2.7b_random,MAGE_cmv,0.9618589743589744,0.9230769230769232,0.9839743589743588,0.010838254936092945
opt_30b_random,MAGE_cmv,0.9671335504885994,0.9381107491856676,0.996742671009772,0.010120852072623046
opt_350m_random,MAGE_cmv,0.9412043010752689,0.896774193548387,0.9741935483870968,0.012724770195336688
opt_6.7b_random,MAGE_cmv,0.9368530701754386,0.8980263157894737,0.9671052631578948,0.012954717443390384
opt_iml_30b,MAGE_cmv,0.9471661237785016,0.9120521172638436,0.980456026058632,0.012833770598287839
opt_iml_max,MAGE_cmv,0.9208677248677248,0.8666666666666667,0.9587301587301588,0.015544063570615585
t0_11b_random,MAGE_cmv,0.9527176220806794,0.9235668789808916,0.9840764331210192,0.011162001302409828
t0_3b_random,MAGE_cmv,0.9308386411889596,0.89171974522293,0.9681528662420382,0.013925656829045134
text-davinci-002_random_forest,MAGE_cmv,0.8571666666666666,0.8125,0.89,0.014568175750744185
text-davinci-003_random_forest,MAGE_cmv,0.9136333333333333,0.8725,0.945,0.012818555173837053
13B_random_forest,MAGE_eli5,0.8735871404399324,0.8248730964467005,0.9213197969543148,0.017096479189442428
30B_random_forest,MAGE_eli5,0.846379746835443,0.8,0.8987341772151899,0.017664747253295483
65B_random_forest,MAGE_eli5,0.8465981148243359,0.7917737789203085,0.8920308483290489,0.017621901142772484
7B_random_forest,MAGE_eli5,0.8869845360824742,0.845360824742268,0.9278350515463918,0.015767127328885508
bloom_7b_random,MAGE_eli5,0.9548217468805704,0.9197860962566844,0.9812834224598932,0.01021936732934395
flan_t5_base,MAGE_eli5,0.8807101086048454,0.8370927318295739,0.9323308270676692,0.01588292211184309
flan_t5_large,MAGE_eli5,0.8737381567614125,0.8191214470284238,0.917312661498708,0.01710196176639594
flan_t5_small,MAGE_eli5,0.8983162393162393,0.8615384615384616,0.935897435897436,0.014249059159492657
flan_t5_xl,MAGE_eli5,0.8688150042625746,0.8235294117647058,0.9232736572890026,0.017074209056661127
flan_t5_xxl,MAGE_eli5,0.8822107969151671,0.8251928020565553,0.9254498714652956,0.015083870419177747
GLM130B_random_forest,MAGE_eli5,0.8764285714285714,0.8341836734693877,0.9209183673469388,0.016199982220055274
gpt-3.5-turbo_random_forest,MAGE_eli5,0.8623208333333333,0.7925,0.9075,0.015470065742776973
gpt_j_random,MAGE_eli5,0.9577842003853565,0.9219653179190752,0.9826589595375722,0.01055993119949257
gpt_neox_random,MAGE_eli5,0.9591720430107527,0.9193548387096774,0.9838709677419356,0.011102089258105512
opt_1.3b_random,MAGE_eli5,0.8964952870608397,0.8380462724935732,0.9383033419023136,0.015086739627813147
opt_125m_random,MAGE_eli5,0.87078125,0.8203125,0.9088541666666666,0.016131160844982843
opt_13b_random,MAGE_eli5,0.9310478771454381,0.8915989159891599,0.967479674796748,0.013164926965997026
opt_2.7b_random,MAGE_eli5,0.9176837606837607,0.8769230769230769,0.9512820512820512,0.013271210706804051
opt_30b_random,MAGE_eli5,0.93213298791019,0.8860103626943006,0.9689119170984456,0.013294076304365878
opt_350m_random,MAGE_eli5,0.9106440382941688,0.8511749347258486,0.9503916449086162,0.015445972534614978
opt_6.7b_random,MAGE_eli5,0.8865017361111112,0.828125,0.9270833333333334,0.01527926311912592
opt_iml_30b,MAGE_eli5,0.9197442455242967,0.8721227621483376,0.9616368286445012,0.013160100133585874
opt_iml_max,MAGE_eli5,0.8682994923857869,0.8197969543147208,0.9213197969543148,0.016474343864841104
t0_11b_random,MAGE_eli5,0.8800418760469012,0.8467336683417085,0.9170854271356784,0.013628701249568073
