,Key,Count,Mean Score
0,of,100,0.06726789803641836
1,PRP,100,0.0758770688743652
2,VB,100,0.05305728026340696
3,NN,100,0.053603418453229724
4,IN,100,0.03905177535455707
5,sentiment,100,0.0596558824584359
6,DT,98,0.0385696745956841
8,have,59,0.0347703966115584
13,to,57,0.03545604746754755
9,the,47,0.03282669402307112
11,i,37,0.031949018531174524
7,RB,36,0.031650685177331675
12,NNS,30,0.033434871811552046
10,mean_sen_len,19,0.03205241528878147
14,which,17,0.031712166857858444
