,Key,Count,Mean Score
0,TTR,100,0.09843703571839853
1,mean_sen_len,100,0.0394174871200892
2,sentiment,100,0.04189542899318137
4,has,100,0.026955254570917506
3,the,99,0.02428592546875104
5,NN,91,0.02077447467130213
10,DT,84,0.020219212282490018
13,and,72,0.019554471664536784
8,an,62,0.02008274920530757
6,VBG,58,0.019652215582946015
18,of,18,0.018095083212296158
14,NNS,18,0.018061476215152358
9,VBZ,18,0.018877511406239153
19,IN,15,0.018283612591855847
15,lex_density,15,0.018501780723253352
12,been,14,0.01883931200682885
11,at,11,0.01807126807662017
17,from,9,0.01829631641391407
16,a,7,0.01756135319526515
7,such,4,0.01848429485122588
20,by,1,0.018889484298371482
21,PRP$,1,0.017379459880498344
22,is,1,0.018083697059648733
23,VBN,1,0.016893154969120715
24,JJS,1,0.018628031113947747
