domain,mean,min,max,std
GPA2Bench_CS,0.7588,0.6975,0.83,0.026298308122406085
GPA2Bench_HSS,0.755475,0.69,0.8375,0.028285822465066356
GPA2Bench_PHX,0.7215,0.665,0.8025,0.03154682266412927
