model,domain,mean,min,max,std
13B_random_forest,MAGE_cmv,0.9117628205128205,0.8717948717948718,0.939102564102564,0.013768492273129465
30B_random_forest,MAGE_cmv,0.8906109324758842,0.8456591639871383,0.932475884244373,0.014816111486550102
65B_random_forest,MAGE_cmv,0.8987106918238994,0.8647798742138365,0.9371069182389936,0.016061385841618807
7B_random_forest,MAGE_cmv,0.9335576923076923,0.9102564102564102,0.9647435897435898,0.012549378162384507
bloom_7b_random,MAGE_cmv,0.9741780821917808,0.9486301369863014,0.9931506849315068,0.009393578022999225
flan_t5_base,MAGE_cmv,0.9463924050632911,0.9145569620253164,0.9746835443037974,0.012956934604398418
flan_t5_large,MAGE_cmv,0.9225320512820513,0.8846153846153846,0.9583333333333334,0.016626616703794422
flan_t5_small,MAGE_cmv,0.9670588235294117,0.9411764705882352,0.9934640522875816,0.01036217847614027
flan_t5_xl,MAGE_cmv,0.9471335504885993,0.9022801302931596,0.980456026058632,0.013401192879456925
flan_t5_xxl,MAGE_cmv,0.9511437908496733,0.9215686274509804,0.977124183006536,0.011073717947862341
GLM130B_random_forest,MAGE_cmv,0.9310443037974684,0.8924050632911392,0.9651898734177216,0.014797322664489935
gpt-3.5-turbo_random_forest,MAGE_cmv,0.939175,0.91,0.965,0.011129716115340974
gpt_j_random,MAGE_cmv,0.9695294117647059,0.9450980392156862,0.996078431372549,0.010470209171653427
gpt_neox_random,MAGE_cmv,0.9786122448979593,0.9510204081632652,0.9959183673469388,0.009338600214877103
opt_1.3b_random,MAGE_cmv,0.9471612903225807,0.9161290322580644,0.9806451612903224,0.012982649013857735
opt_125m_random,MAGE_cmv,0.9095454545454545,0.8733766233766234,0.948051948051948,0.017105792957434134
opt_13b_random,MAGE_cmv,0.977103448275862,0.9586206896551724,0.996551724137931,0.008964177484764371
opt_2.7b_random,MAGE_cmv,0.9626923076923077,0.9262820512820512,0.9935897435897436,0.01163696478990606
opt_30b_random,MAGE_cmv,0.9667426710097721,0.9348534201954396,0.990228013029316,0.009434901624829172
opt_350m_random,MAGE_cmv,0.939258064516129,0.9064516129032258,0.9774193548387096,0.012556894977411342
opt_6.7b_random,MAGE_cmv,0.937796052631579,0.8980263157894737,0.9638157894736842,0.012572495712358828
opt_iml_30b,MAGE_cmv,0.9485016286644951,0.9120521172638436,0.977198697068404,0.011936313891810699
opt_iml_max,MAGE_cmv,0.9213015873015873,0.8793650793650793,0.9555555555555556,0.014789334233973982
t0_11b_random,MAGE_cmv,0.954171974522293,0.9203821656050956,0.9745222929936306,0.010605041926562454
t0_3b_random,MAGE_cmv,0.9309235668789809,0.8949044585987261,0.964968152866242,0.014290548304213143
text-davinci-002_random_forest,MAGE_cmv,0.854025,0.8,0.8925,0.017092643434997397
text-davinci-003_random_forest,MAGE_cmv,0.911825,0.8825,0.9425,0.013720031620837026
13B_random_forest,MAGE_eli5,0.8719289340101523,0.8426395939086294,0.916243654822335,0.015935898486270833
30B_random_forest,MAGE_eli5,0.8465822784810126,0.8,0.8860759493670886,0.017193063241487207
65B_random_forest,MAGE_eli5,0.8460668380462725,0.8071979434447301,0.884318766066838,0.016955010088206695
7B_random_forest,MAGE_eli5,0.8845876288659794,0.8505154639175257,0.9175257731958762,0.016166400289071108
bloom_7b_random,MAGE_eli5,0.955668449197861,0.9224598930481284,0.9759358288770054,0.011490572207323366
flan_t5_base,MAGE_eli5,0.8800250626566416,0.8395989974937343,0.9172932330827068,0.014229642971185497
flan_t5_large,MAGE_eli5,0.8717312661498708,0.834625322997416,0.9069767441860463,0.015247358062722231
flan_t5_small,MAGE_eli5,0.8994615384615384,0.8717948717948718,0.9282051282051282,0.013302491574306189
flan_t5_xl,MAGE_eli5,0.8684143222506394,0.8260869565217391,0.90537084398977,0.015809184404859823
flan_t5_xxl,MAGE_eli5,0.8808997429305913,0.8457583547557841,0.9151670951156812,0.015372382416144888
GLM130B_random_forest,MAGE_eli5,0.8757142857142857,0.8443877551020408,0.9183673469387756,0.016235930591649815
gpt-3.5-turbo_random_forest,MAGE_eli5,0.861975,0.8275,0.905,0.015627833076491016
gpt_j_random,MAGE_eli5,0.9582080924855492,0.930635838150289,0.9797687861271676,0.010500682163936553
gpt_neox_random,MAGE_eli5,0.9596451612903226,0.935483870967742,0.9903225806451612,0.009838936693800435
opt_1.3b_random,MAGE_eli5,0.8988431876606684,0.8406169665809768,0.9434447300771208,0.01717055014648905
opt_125m_random,MAGE_eli5,0.8719010416666667,0.8411458333333334,0.9036458333333334,0.01400526821091199
opt_13b_random,MAGE_eli5,0.9310569105691057,0.8888888888888888,0.959349593495935,0.012483370261236292
opt_2.7b_random,MAGE_eli5,0.92,0.8794871794871795,0.9512820512820512,0.012396511082027087
opt_30b_random,MAGE_eli5,0.9323834196891192,0.8886010362694301,0.9637305699481864,0.013611779770176132
opt_350m_random,MAGE_eli5,0.9114099216710183,0.8772845953002611,0.9451697127937336,0.013752264639715083
opt_6.7b_random,MAGE_eli5,0.8859895833333333,0.8489583333333334,0.9296875,0.016238060693147892
opt_iml_30b,MAGE_eli5,0.919539641943734,0.8797953964194374,0.948849104859335,0.01463755048532132
opt_iml_max,MAGE_eli5,0.8681725888324873,0.8299492385786802,0.9035532994923858,0.016276868955155597
t0_11b_random,MAGE_eli5,0.8785427135678392,0.8391959798994975,0.9195979899497488,0.014794517565662683
t0_3b_random,MAGE_eli5,0.8677435897435898,0.8179487179487179,0.9205128205128204,0.017787711646905412
text-davinci-002_random_forest,MAGE_eli5,0.77445,0.72,0.815,0.01924909810297038
text-davinci-003_random_forest,MAGE_eli5,0.82875,0.7775,0.88,0.019297969223771083
13B_random_forest,MAGE_hswag,0.962061855670103,0.9432989690721648,0.981958762886598,0.007762963280656573
30B_random_forest,MAGE_hswag,0.950559796437659,0.9236641221374046,0.9745547073791349,0.010250181816988786
65B_random_forest,MAGE_hswag,0.9577099236641221,0.9338422391857506,0.9770992366412212,0.00928975848691641
7B_random_forest,MAGE_hswag,0.9641450777202073,0.9430051813471504,0.9818652849740932,0.009291468132506624
bloom_7b_random,MAGE_hswag,0.9780434782608696,0.9510869565217392,0.9918478260869564,0.007170635122351051
flan_t5_base,MAGE_hswag,0.7281108312342569,0.6801007556675063,0.7732997481108312,0.02261432062439578
flan_t5_large,MAGE_hswag,0.7371929824561403,0.6766917293233082,0.7819548872180451,0.020192087489105715
flan_t5_small,MAGE_hswag,0.7751010101010101,0.7247474747474747,0.8333333333333334,0.020492692557687143
flan_t5_xl,MAGE_hswag,0.7638181818181818,0.7064935064935065,0.8155844155844156,0.021134490784968075
flan_t5_xxl,MAGE_hswag,0.850507614213198,0.817258883248731,0.8857868020304569,0.01605419752511165
GLM130B_random_forest,MAGE_hswag,0.9750512820512821,0.958974358974359,0.9923076923076924,0.007899774962473708
gpt-3.5-turbo_random_forest,MAGE_hswag,0.869825,0.825,0.905,0.015055683681291622
gpt_j_random,MAGE_hswag,0.971609195402299,0.9454022988505748,0.9942528735632185,0.00919902981972181
gpt_neox_random,MAGE_hswag,0.9384210526315789,0.9022556390977444,0.9736842105263158,0.013334695178482908
opt_1.3b_random,MAGE_hswag,0.9621671018276762,0.9399477806788512,0.9817232375979112,0.00875445792688956
opt_125m_random,MAGE_hswag,0.9525925925925925,0.9285714285714286,0.9761904761904762,0.00986049682525786
opt_13b_random,MAGE_hswag,0.9426578073089701,0.9169435215946844,0.9667774086378738,0.011716213180574836
opt_2.7b_random,MAGE_hswag,0.9486133333333333,0.9146666666666666,0.9733333333333334,0.01100379691637756
opt_30b_random,MAGE_hswag,0.9434453781512605,0.9187675070028012,0.9663865546218487,0.009990662931839407
opt_350m_random,MAGE_hswag,0.951264367816092,0.9281609195402298,0.9770114942528736,0.01058709818395219
opt_6.7b_random,MAGE_hswag,0.9516032608695653,0.9266304347826086,0.9728260869565216,0.009210628943867854
opt_iml_30b,MAGE_hswag,0.9406282722513089,0.9083769633507852,0.9738219895287958,0.012198713419988523
opt_iml_max,MAGE_hswag,0.9216020671834625,0.8837209302325582,0.958656330749354,0.014376295764021893
t0_11b_random,MAGE_hswag,0.7615989847715736,0.7157360406091371,0.8045685279187818,0.017387999496907273
t0_3b_random,MAGE_hswag,0.7401754385964913,0.6892230576441103,0.8020050125313283,0.023904415586790687
text-davinci-002_random_forest,MAGE_hswag,0.802775,0.7575,0.86,0.021102488603302817
text-davinci-003_random_forest,MAGE_hswag,0.802975,0.735,0.845,0.020014814588956424
13B_random_forest,MAGE_roct,0.9479545454545455,0.9242424242424242,0.9747474747474748,0.010707093567632347
30B_random_forest,MAGE_roct,0.9451776649746193,0.9213197969543148,0.9695431472081218,0.010846394440119493
65B_random_forest,MAGE_roct,0.9550886075949366,0.9265822784810128,0.9721518987341772,0.0091004176156628
7B_random_forest,MAGE_roct,0.9720304568527919,0.9568527918781726,0.9847715736040608,0.006111206998012447
bloom_7b_random,MAGE_roct,0.9773575129533679,0.9585492227979274,0.9922279792746114,0.007230858634195111
flan_t5_base,MAGE_roct,0.8007769423558897,0.7418546365914787,0.8421052631578947,0.018770375152838477
flan_t5_large,MAGE_roct,0.7566153846153846,0.7205128205128205,0.8051282051282052,0.018067391742566566
flan_t5_small,MAGE_roct,0.7948081841432225,0.7135549872122762,0.8363171355498721,0.02020970429181443
flan_t5_xl,MAGE_roct,0.7251262626262627,0.6414141414141414,0.7777777777777778,0.02508200513229019
flan_t5_xxl,MAGE_roct,0.8313131313131313,0.7777777777777778,0.8787878787878788,0.018695070682950937
GLM130B_random_forest,MAGE_roct,0.9776767676767677,0.9570707070707072,0.9949494949494948,0.007586123574978698
gpt-3.5-turbo_random_forest,MAGE_roct,0.959075,0.9275,0.9825,0.009611486972273436
gpt_j_random,MAGE_roct,0.9865269461077844,0.9700598802395208,1.0,0.00578028322852348
gpt_neox_random,MAGE_roct,0.9612418300653595,0.931372549019608,0.9836601307189542,0.010520663310231567
opt_1.3b_random,MAGE_roct,0.9676020408163266,0.9464285714285714,0.9821428571428572,0.007470508785096902
opt_125m_random,MAGE_roct,0.9681940700808626,0.9487870619946092,0.9865229110512128,0.008910911357199403
opt_13b_random,MAGE_roct,0.9551714285714286,0.9314285714285714,0.9742857142857144,0.00984476500797529
