domain,mean,min,max,std
MAGE_cmv_random_forest,0.862175,0.8075,0.9075,0.020948635475439164
MAGE_eli5_random_forest,0.77835,0.72,0.825,0.02095335126639482
MAGE_hswag_random_forest,0.857,0.83,0.895,0.015037831081521154
MAGE_roct_random_forest,0.8677,0.84,0.8975,0.012686388155990033
MAGE_sci_gen_random,0.8318,0.7775,0.8775,0.01719275746036421
MAGE_squad_random_forest,0.827475,0.7925,0.87,0.015952482312141643
MAGE_tldr_random_forest,0.8343,0.785,0.88,0.019049642749639398
MAGE_wp_random_forest,0.876225,0.8325,0.905,0.014981027563845098
MAGE_xsum_random_forest,0.825925,0.79,0.875,0.01605960724452764
MAGE_yelp_random_forest,0.744825,0.685,0.7975,0.020400828736385025
