domain,mean,min,max,std
GPA2Bench_CS,0.974875,0.9525,0.9925,0.008214109258409645
GPA2Bench_HSS,0.965725,0.9425,0.9875,0.009247542671139483
GPA2Bench_PHX,0.9897,0.975,0.9975,0.004990900811385749
