domain,mean,min,max,std
MAGE_cmv,0.525038560411311,0.5089974293059126,0.5398457583547558,0.005602638299076311
MAGE_eli5,0.5226992287917738,0.5089974293059126,0.5501285347043702,0.007452863583079895
MAGE_hswag,0.475012853470437,0.429305912596401,0.5167095115681234,0.018668795673520824
MAGE_roct,0.5146015424164524,0.5012853470437018,0.5269922879177378,0.004298178647466837
MAGE_sci,0.46035989717223647,0.3830334190231362,0.5398457583547558,0.02682435509528744
MAGE_squad,0.475706940874036,0.4138817480719794,0.5398457583547558,0.026786241642792943
MAGE_tldr,0.523598971722365,0.4781491002570694,0.5784061696658098,0.016886366999117827
MAGE_wp,0.5267352185089974,0.5089974293059126,0.5501285347043702,0.006966265250263308
MAGE_xsum,0.5365809768637532,0.4884318766066838,0.5784061696658098,0.01709840023909302
MAGE_yelp,0.5130334190231363,0.5012853470437018,0.532133676092545,0.0066300070254637815
